doc_id,title,department,year,region,text
D036,"Document Title D036 (sales)",sales,2023,europe,"This is the body text of document D036 in department sales for region europe and year 2023."
D037,"Document Title D037 (hr)",hr,2022,north_america,"This is the body text of document D037 in department hr for region north_america and year 2022."
D038,"Document Title D038 (marketing)",marketing,2020,latin_america,"This is the body text of document D038 in department marketing for region latin_america and year 2020."
D039,"Document Title D039 (sales)",sales,2022,asia_pacific,"This is the body text of document D039 in department sales for region asia_pacific and year 2022."
D040,"Document Title D040 (hr)",hr,2021,north_america,"This is the body text of document D040 in department hr for region north_america and year 2021."
D041,"Document Title D041 (legal)",legal,2025,asia_pacific,"This is the body text of document D041 in department legal for region asia_pacific and year 2025."
D042,"Document Title D042 (finance)",finance,2024,latin_america,"This is the body text of document D042 in department finance for region latin_america and year 2024."
D043,"Document Title D043 (marketing)",marketing,2026,europe,"This is the body text of document D043 in department marketing for region europe and year 2026."
D044,"Document Title D044 (sales)",sales,2022,europe,"This is the body text of document D044 in department sales for region europe and year 2022."
D045,"Document Title D045 (hr)",hr,2020,europe,"This is the body text of document D045 in department hr for region europe and year 2020."
D046,"Document Title D046 (hr)",hr,2023,europe,"This is the body text of document D046 in department hr for region europe and year 2023."
D047,"Document Title D047 (hr)",hr,2026,latin_america,"This is the body text of document D047 in department hr for region latin_america and year 2026."
D048,"Document Title D048 (engineering)",engineering,2020,north_america,"This is the body text of document D048 in department engineering for region north_america and year 2020."
D049,"Document Title D049 (engineering)",engineering,2025,latin_america,"This is the body text of document D049 in department engineering for region latin_america and year 2025."
D050,"Document Title D050 (sales)",sales,2022,europe,"This is the body text of document D050 in department sales for region europe and year 2022."
D051,"Document Title D051 (marketing)",marketing,2024,europe,"This is the body text of document D051 in department marketing for region europe and year 2024."
D052,"Document Title D052 (legal)",legal,2022,north_america,"This is the body text of document D052 in department legal for region north_america and year 2022."
D053,"Document Title D053 (legal)",legal,2023,asia_pacific,"This is the body text of document D053 in department legal for region asia_pacific and year 2023."
D054,"Document Title D054 (sales)",sales,2026,latin_america,"This is the body text of document D054 in department sales for region latin_america and year 2026."
D055,"Document Title D055 (marketing)",marketing,2022,europe,"This is the body text of document D055 in department marketing for region europe and year 2022."
D056,"Document Title D056 (hr)",hr,2026,asia_pacific,"This is the body text of document D056 in department hr for region asia_pacific and year 2026."
D057,"Document Title D057 (sales)",sales,2021,europe,"This is the body text of document D057 in department sales for region europe and year 2021."
D058,"Document Title D058 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D058 in department engineering for region asia_pacific and year 2026."
D059,"Document Title D059 (sales)",sales,2023,europe,"This is the body text of document D059 in department sales for region europe and year 2023."
D060,"Document Title D060 (hr)",hr,2026,north_america,"This is the body text of document D060 in department hr for region north_america and year 2026."
D061,"Document Title D061 (legal)",legal,2024,europe,"This is the body text of document D061 in department legal for region europe and year 2024."
D062,"Document Title D062 (engineering)",engineering,2021,north_america,"This is the body text of document D062 in department engineering for region north_america and year 2021."
D063,"Document Title D063 (finance)",finance,2025,north_america,"This is the body text of document D063 in department finance for region north_america and year 2025."
D064,"Document Title D064 (legal)",legal,2026,europe,"This is the body text of document D064 in department legal for region europe and year 2026."
D065,"Document Title D065 (legal)",legal,2022,latin_america,"This is the body text of document D065 in department legal for region latin_america and year 2022."
D066,"Document Title D066 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D066 in department engineering for region asia_pacific and year 2021."
D067,"Document Title D067 (sales)",sales,2020,north_america,"This is the body text of document D067 in department sales for region north_america and year 2020."
D068,"Document Title D068 (engineering)",engineering,2025,latin_america,"This is the body text of document D068 in department engineering for region latin_america and year 2025."
D069,"Document Title D069 (sales)",sales,2023,latin_america,"This is the body text of document D069 in department sales for region latin_america and year 2023."
D070,"Document Title D070 (sales)",sales,2023,asia_pacific,"This is the body text of document D070 in department sales for region asia_pacific and year 2023."
D071,"Document Title D071 (finance)",finance,2026,asia_pacific,"This is the body text of document D071 in department finance for region asia_pacific and year 2026."
D072,"Document Title D072 (finance)",finance,2021,latin_america,"This is the body text of document D072 in department finance for region latin_america and year 2021."
D073,"Document Title D073 (sales)",sales,2026,asia_pacific,"This is the body text of document D073 in department sales for region asia_pacific and year 2026."
D074,"Document Title D074 (sales)",sales,2024,north_america,"This is the body text of document D074 in department sales for region north_america and year 2024."
D075,"Document Title D075 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D075 in department marketing for region asia_pacific and year 2026."
D076,"Document Title D076 (sales)",sales,2026,europe,"This is the body text of document D076 in department sales for region europe and year 2026."
D077,"Document Title D077 (sales)",sales,2022,latin_america,"This is the body text of document D077 in department sales for region latin_america and year 2022."
D078,"Document Title D078 (sales)",sales,2024,latin_america,"This is the body text of document D078 in department sales for region latin_america and year 2024."
D079,"Document Title D079 (legal)",legal,2022,north_america,"This is the body text of document D079 in department legal for region north_america and year 2022."
D080,"Document Title D080 (sales)",sales,2026,latin_america,"This is the body text of document D080 in department sales for region latin_america and year 2026."
D081,"Document Title D081 (marketing)",marketing,2024,europe,"This is the body text of document D081 in department marketing for region europe and year 2024."
D082,"Document Title D082 (sales)",sales,2024,north_america,"This is the body text of document D082 in department sales for region north_america and year 2024."
D083,"Document Title D083 (marketing)",marketing,2020,north_america,"This is the body text of document D083 in department marketing for region north_america and year 2020."
D084,"Document Title D084 (hr)",hr,2024,north_america,"This is the body text of document D084 in department hr for region north_america and year 2024."
D085,"Document Title D085 (sales)",sales,2024,asia_pacific,"This is the body text of document D085 in department sales for region asia_pacific and year 2024."
D086,"Document Title D086 (hr)",hr,2022,asia_pacific,"This is the body text of document D086 in department hr for region asia_pacific and year 2022."
D087,"Document Title D087 (engineering)",engineering,2022,europe,"This is the body text of document D087 in department engineering for region europe and year 2022."
D088,"Document Title D088 (hr)",hr,2026,north_america,"This is the body text of document D088 in department hr for region north_america and year 2026."
D089,"Document Title D089 (engineering)",engineering,2023,latin_america,"This is the body text of document D089 in department engineering for region latin_america and year 2023."
D090,"Document Title D090 (marketing)",marketing,2022,latin_america,"This is the body text of document D090 in department marketing for region latin_america and year 2022."
D091,"Document Title D091 (finance)",finance,2021,latin_america,"This is the body text of document D091 in department finance for region latin_america and year 2021."
D092,"Document Title D092 (legal)",legal,2020,north_america,"This is the body text of document D092 in department legal for region north_america and year 2020."
D093,"Document Title D093 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D093 in department engineering for region asia_pacific and year 2025."
D094,"Document Title D094 (legal)",legal,2024,latin_america,"This is the body text of document D094 in department legal for region latin_america and year 2024."
D095,"Document Title D095 (legal)",legal,2025,north_america,"This is the body text of document D095 in department legal for region north_america and year 2025."
D096,"Document Title D096 (engineering)",engineering,2022,north_america,"This is the body text of document D096 in department engineering for region north_america and year 2022."
D097,"Document Title D097 (sales)",sales,2023,latin_america,"This is the body text of document D097 in department sales for region latin_america and year 2023."
D098,"Document Title D098 (sales)",sales,2026,europe,"This is the body text of document D098 in department sales for region europe and year 2026."
D099,"Document Title D099 (hr)",hr,2025,north_america,"This is the body text of document D099 in department hr for region north_america and year 2025."
D100,"Document Title D100 (hr)",hr,2025,latin_america,"This is the body text of document D100 in department hr for region latin_america and year 2025."
D101,"Document Title D101 (sales)",sales,2020,asia_pacific,"This is the body text of document D101 in department sales for region asia_pacific and year 2020."
D102,"Document Title D102 (engineering)",engineering,2025,north_america,"This is the body text of document D102 in department engineering for region north_america and year 2025."
D103,"Document Title D103 (finance)",finance,2025,europe,"This is the body text of document D103 in department finance for region europe and year 2025."
D104,"Document Title D104 (sales)",sales,2024,north_america,"This is the body text of document D104 in department sales for region north_america and year 2024."
D105,"Document Title D105 (sales)",sales,2023,asia_pacific,"This is the body text of document D105 in department sales for region asia_pacific and year 2023."
D106,"Document Title D106 (hr)",hr,2023,latin_america,"This is the body text of document D106 in department hr for region latin_america and year 2023."
D107,"Document Title D107 (sales)",sales,2024,europe,"This is the body text of document D107 in department sales for region europe and year 2024."
D108,"Document Title D108 (legal)",legal,2020,asia_pacific,"This is the body text of document D108 in department legal for region asia_pacific and year 2020."
D109,"Document Title D109 (legal)",legal,2025,latin_america,"This is the body text of document D109 in department legal for region latin_america and year 2025."
D110,"Document Title D110 (marketing)",marketing,2020,europe,"This is the body text of document D110 in department marketing for region europe and year 2020."
D111,"Document Title D111 (finance)",finance,2021,asia_pacific,"This is the body text of document D111 in department finance for region asia_pacific and year 2021."
D112,"Document Title D112 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D112 in department marketing for region asia_pacific and year 2023."
D113,"Document Title D113 (legal)",legal,2023,asia_pacific,"This is the body text of document D113 in department legal for region asia_pacific and year 2023."
D114,"Document Title D114 (hr)",hr,2023,asia_pacific,"This is the body text of document D114 in department hr for region asia_pacific and year 2023."
D115,"Document Title D115 (marketing)",marketing,2022,north_america,"This is the body text of document D115 in department marketing for region north_america and year 2022."
D116,"Document Title D116 (hr)",hr,2023,latin_america,"This is the body text of document D116 in department hr for region latin_america and year 2023."
D117,"Document Title D117 (legal)",legal,2020,north_america,"This is the body text of document D117 in department legal for region north_america and year 2020."
D118,"Document Title D118 (legal)",legal,2024,europe,"This is the body text of document D118 in department legal for region europe and year 2024."
D119,"Document Title D119 (hr)",hr,2021,latin_america,"This is the body text of document D119 in department hr for region latin_america and year 2021."
D120,"Document Title D120 (engineering)",engineering,2025,north_america,"This is the body text of document D120 in department engineering for region north_america and year 2025."
D121,"Document Title D121 (hr)",hr,2026,europe,"This is the body text of document D121 in department hr for region europe and year 2026."
D122,"Document Title D122 (hr)",hr,2021,europe,"This is the body text of document D122 in department hr for region europe and year 2021."
D123,"Document Title D123 (hr)",hr,2024,europe,"This is the body text of document D123 in department hr for region europe and year 2024."
D124,"Document Title D124 (marketing)",marketing,2021,europe,"This is the body text of document D124 in department marketing for region europe and year 2021."
D125,"Document Title D125 (legal)",legal,2025,asia_pacific,"This is the body text of document D125 in department legal for region asia_pacific and year 2025."
D126,"Document Title D126 (sales)",sales,2020,asia_pacific,"This is the body text of document D126 in department sales for region asia_pacific and year 2020."
D127,"Document Title D127 (marketing)",marketing,2021,europe,"This is the body text of document D127 in department marketing for region europe and year 2021."
D128,"Document Title D128 (legal)",legal,2021,latin_america,"This is the body text of document D128 in department legal for region latin_america and year 2021."
D129,"Document Title D129 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D129 in department engineering for region asia_pacific and year 2023."
D130,"Document Title D130 (sales)",sales,2020,asia_pacific,"This is the body text of document D130 in department sales for region asia_pacific and year 2020."
D131,"Document Title D131 (engineering)",engineering,2022,europe,"This is the body text of document D131 in department engineering for region europe and year 2022."
D132,"Document Title D132 (sales)",sales,2022,north_america,"This is the body text of document D132 in department sales for region north_america and year 2022."
D133,"Document Title D133 (marketing)",marketing,2022,latin_america,"This is the body text of document D133 in department marketing for region latin_america and year 2022."
D134,"Document Title D134 (finance)",finance,2023,asia_pacific,"This is the body text of document D134 in department finance for region asia_pacific and year 2023."
D135,"Document Title D135 (marketing)",marketing,2022,latin_america,"This is the body text of document D135 in department marketing for region latin_america and year 2022."
D136,"Document Title D136 (finance)",finance,2026,asia_pacific,"This is the body text of document D136 in department finance for region asia_pacific and year 2026."
D137,"Document Title D137 (legal)",legal,2026,north_america,"This is the body text of document D137 in department legal for region north_america and year 2026."
D138,"Document Title D138 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D138 in department marketing for region asia_pacific and year 2026."
D139,"Document Title D139 (hr)",hr,2025,europe,"This is the body text of document D139 in department hr for region europe and year 2025."
D140,"Document Title D140 (engineering)",engineering,2025,latin_america,"This is the body text of document D140 in department engineering for region latin_america and year 2025."
D141,"Document Title D141 (engineering)",engineering,2024,latin_america,"This is the body text of document D141 in department engineering for region latin_america and year 2024."
D142,"Document Title D142 (finance)",finance,2022,europe,"This is the body text of document D142 in department finance for region europe and year 2022."
D143,"Document Title D143 (finance)",finance,2021,north_america,"This is the body text of document D143 in department finance for region north_america and year 2021."
D144,"Document Title D144 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D144 in department marketing for region asia_pacific and year 2026."
D145,"Document Title D145 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D145 in department marketing for region asia_pacific and year 2021."
D146,"Document Title D146 (marketing)",marketing,2024,latin_america,"This is the body text of document D146 in department marketing for region latin_america and year 2024."
D147,"Document Title D147 (marketing)",marketing,2021,europe,"This is the body text of document D147 in department marketing for region europe and year 2021."
D148,"Document Title D148 (finance)",finance,2023,north_america,"This is the body text of document D148 in department finance for region north_america and year 2023."
D149,"Document Title D149 (legal)",legal,2020,europe,"This is the body text of document D149 in department legal for region europe and year 2020."
D150,"Document Title D150 (hr)",hr,2023,north_america,"This is the body text of document D150 in department hr for region north_america and year 2023."
D151,"Document Title D151 (hr)",hr,2023,north_america,"This is the body text of document D151 in department hr for region north_america and year 2023."
D152,"Document Title D152 (finance)",finance,2020,north_america,"This is the body text of document D152 in department finance for region north_america and year 2020."
D153,"Document Title D153 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D153 in department engineering for region asia_pacific and year 2020."
D154,"Document Title D154 (marketing)",marketing,2021,europe,"This is the body text of document D154 in department marketing for region europe and year 2021."
D155,"Document Title D155 (hr)",hr,2024,asia_pacific,"This is the body text of document D155 in department hr for region asia_pacific and year 2024."
D156,"Document Title D156 (legal)",legal,2020,north_america,"This is the body text of document D156 in department legal for region north_america and year 2020."
D157,"Document Title D157 (sales)",sales,2024,north_america,"This is the body text of document D157 in department sales for region north_america and year 2024."
D158,"Document Title D158 (legal)",legal,2022,latin_america,"This is the body text of document D158 in department legal for region latin_america and year 2022."
D159,"Document Title D159 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D159 in department engineering for region asia_pacific and year 2021."
D160,"Document Title D160 (engineering)",engineering,2020,north_america,"This is the body text of document D160 in department engineering for region north_america and year 2020."
D161,"Document Title D161 (legal)",legal,2024,latin_america,"This is the body text of document D161 in department legal for region latin_america and year 2024."
D162,"Document Title D162 (finance)",finance,2023,europe,"This is the body text of document D162 in department finance for region europe and year 2023."
D163,"Document Title D163 (engineering)",engineering,2023,europe,"This is the body text of document D163 in department engineering for region europe and year 2023."
D164,"Document Title D164 (finance)",finance,2026,asia_pacific,"This is the body text of document D164 in department finance for region asia_pacific and year 2026."
D165,"Document Title D165 (finance)",finance,2024,north_america,"This is the body text of document D165 in department finance for region north_america and year 2024."
D166,"Document Title D166 (engineering)",engineering,2024,north_america,"This is the body text of document D166 in department engineering for region north_america and year 2024."
D167,"Document Title D167 (marketing)",marketing,2020,europe,"This is the body text of document D167 in department marketing for region europe and year 2020."
D168,"Document Title D168 (sales)",sales,2022,latin_america,"This is the body text of document D168 in department sales for region latin_america and year 2022."
D169,"Document Title D169 (engineering)",engineering,2026,europe,"This is the body text of document D169 in department engineering for region europe and year 2026."
D170,"Document Title D170 (hr)",hr,2024,north_america,"This is the body text of document D170 in department hr for region north_america and year 2024."
D171,"Document Title D171 (engineering)",engineering,2023,europe,"This is the body text of document D171 in department engineering for region europe and year 2023."
D172,"Document Title D172 (finance)",finance,2026,europe,"This is the body text of document D172 in department finance for region europe and year 2026."
D173,"Document Title D173 (marketing)",marketing,2020,north_america,"This is the body text of document D173 in department marketing for region north_america and year 2020."
D174,"Document Title D174 (engineering)",engineering,2021,latin_america,"This is the body text of document D174 in department engineering for region latin_america and year 2021."
D175,"Document Title D175 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D175 in department engineering for region asia_pacific and year 2024."
D176,"Document Title D176 (finance)",finance,2026,north_america,"This is the body text of document D176 in department finance for region north_america and year 2026."
D177,"Document Title D177 (finance)",finance,2023,latin_america,"This is the body text of document D177 in department finance for region latin_america and year 2023."
D178,"Document Title D178 (sales)",sales,2025,latin_america,"This is the body text of document D178 in department sales for region latin_america and year 2025."
D179,"Document Title D179 (legal)",legal,2022,latin_america,"This is the body text of document D179 in department legal for region latin_america and year 2022."
D180,"Document Title D180 (sales)",sales,2025,europe,"This is the body text of document D180 in department sales for region europe and year 2025."
D181,"Document Title D181 (legal)",legal,2026,north_america,"This is the body text of document D181 in department legal for region north_america and year 2026."
D182,"Document Title D182 (finance)",finance,2020,latin_america,"This is the body text of document D182 in department finance for region latin_america and year 2020."
D183,"Document Title D183 (sales)",sales,2025,europe,"This is the body text of document D183 in department sales for region europe and year 2025."
D184,"Document Title D184 (hr)",hr,2022,latin_america,"This is the body text of document D184 in department hr for region latin_america and year 2022."
D185,"Document Title D185 (finance)",finance,2026,europe,"This is the body text of document D185 in department finance for region europe and year 2026."
D186,"Document Title D186 (hr)",hr,2020,latin_america,"This is the body text of document D186 in department hr for region latin_america and year 2020."
D187,"Document Title D187 (legal)",legal,2025,north_america,"This is the body text of document D187 in department legal for region north_america and year 2025."
D188,"Document Title D188 (sales)",sales,2026,europe,"This is the body text of document D188 in department sales for region europe and year 2026."
D189,"Document Title D189 (sales)",sales,2021,latin_america,"This is the body text of document D189 in department sales for region latin_america and year 2021."
D190,"Document Title D190 (finance)",finance,2025,north_america,"This is the body text of document D190 in department finance for region north_america and year 2025."
D191,"Document Title D191 (hr)",hr,2025,europe,"This is the body text of document D191 in department hr for region europe and year 2025."
D192,"Document Title D192 (sales)",sales,2022,europe,"This is the body text of document D192 in department sales for region europe and year 2022."
D193,"Document Title D193 (finance)",finance,2024,north_america,"This is the body text of document D193 in department finance for region north_america and year 2024."
D194,"Document Title D194 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D194 in department engineering for region asia_pacific and year 2026."
D195,"Document Title D195 (marketing)",marketing,2025,north_america,"This is the body text of document D195 in department marketing for region north_america and year 2025."
D196,"Document Title D196 (engineering)",engineering,2022,north_america,"This is the body text of document D196 in department engineering for region north_america and year 2022."
D197,"Document Title D197 (marketing)",marketing,2021,north_america,"This is the body text of document D197 in department marketing for region north_america and year 2021."
D198,"Document Title D198 (hr)",hr,2021,europe,"This is the body text of document D198 in department hr for region europe and year 2021."
D199,"Document Title D199 (hr)",hr,2024,latin_america,"This is the body text of document D199 in department hr for region latin_america and year 2024."
D200,"Document Title D200 (hr)",hr,2022,latin_america,"This is the body text of document D200 in department hr for region latin_america and year 2022."
D201,"Document Title D201 (engineering)",engineering,2023,europe,"This is the body text of document D201 in department engineering for region europe and year 2023."
D202,"Document Title D202 (finance)",finance,2026,north_america,"This is the body text of document D202 in department finance for region north_america and year 2026."
D203,"Document Title D203 (sales)",sales,2023,asia_pacific,"This is the body text of document D203 in department sales for region asia_pacific and year 2023."
D204,"Document Title D204 (finance)",finance,2026,europe,"This is the body text of document D204 in department finance for region europe and year 2026."
D205,"Document Title D205 (finance)",finance,2024,north_america,"This is the body text of document D205 in department finance for region north_america and year 2024."
D206,"Document Title D206 (sales)",sales,2020,north_america,"This is the body text of document D206 in department sales for region north_america and year 2020."
D207,"Document Title D207 (sales)",sales,2022,north_america,"This is the body text of document D207 in department sales for region north_america and year 2022."
D208,"Document Title D208 (hr)",hr,2026,asia_pacific,"This is the body text of document D208 in department hr for region asia_pacific and year 2026."
D209,"Document Title D209 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D209 in department engineering for region asia_pacific and year 2021."
D210,"Document Title D210 (legal)",legal,2023,europe,"This is the body text of document D210 in department legal for region europe and year 2023."
D211,"Document Title D211 (engineering)",engineering,2026,europe,"This is the body text of document D211 in department engineering for region europe and year 2026."
D212,"Document Title D212 (marketing)",marketing,2023,latin_america,"This is the body text of document D212 in department marketing for region latin_america and year 2023."
D213,"Document Title D213 (marketing)",marketing,2026,europe,"This is the body text of document D213 in department marketing for region europe and year 2026."
D214,"Document Title D214 (legal)",legal,2020,asia_pacific,"This is the body text of document D214 in department legal for region asia_pacific and year 2020."
D215,"Document Title D215 (marketing)",marketing,2021,europe,"This is the body text of document D215 in department marketing for region europe and year 2021."
D216,"Document Title D216 (legal)",legal,2025,europe,"This is the body text of document D216 in department legal for region europe and year 2025."
D217,"Document Title D217 (finance)",finance,2021,latin_america,"This is the body text of document D217 in department finance for region latin_america and year 2021."
D218,"Document Title D218 (finance)",finance,2020,latin_america,"This is the body text of document D218 in department finance for region latin_america and year 2020."
D219,"Document Title D219 (sales)",sales,2024,asia_pacific,"This is the body text of document D219 in department sales for region asia_pacific and year 2024."
D220,"Document Title D220 (engineering)",engineering,2025,north_america,"This is the body text of document D220 in department engineering for region north_america and year 2025."
D221,"Document Title D221 (marketing)",marketing,2022,europe,"This is the body text of document D221 in department marketing for region europe and year 2022."
D222,"Document Title D222 (finance)",finance,2023,asia_pacific,"This is the body text of document D222 in department finance for region asia_pacific and year 2023."
D223,"Document Title D223 (sales)",sales,2024,asia_pacific,"This is the body text of document D223 in department sales for region asia_pacific and year 2024."
D224,"Document Title D224 (sales)",sales,2021,europe,"This is the body text of document D224 in department sales for region europe and year 2021."
D225,"Document Title D225 (hr)",hr,2026,asia_pacific,"This is the body text of document D225 in department hr for region asia_pacific and year 2026."
D226,"Document Title D226 (finance)",finance,2025,europe,"This is the body text of document D226 in department finance for region europe and year 2025."
D227,"Document Title D227 (legal)",legal,2021,europe,"This is the body text of document D227 in department legal for region europe and year 2021."
D228,"Document Title D228 (hr)",hr,2026,latin_america,"This is the body text of document D228 in department hr for region latin_america and year 2026."
D229,"Document Title D229 (legal)",legal,2023,latin_america,"This is the body text of document D229 in department legal for region latin_america and year 2023."
D230,"Document Title D230 (legal)",legal,2023,asia_pacific,"This is the body text of document D230 in department legal for region asia_pacific and year 2023."
D231,"Document Title D231 (legal)",legal,2024,north_america,"This is the body text of document D231 in department legal for region north_america and year 2024."
D232,"Document Title D232 (sales)",sales,2026,latin_america,"This is the body text of document D232 in department sales for region latin_america and year 2026."
D233,"Document Title D233 (marketing)",marketing,2025,asia_pacific,"This is the body text of document D233 in department marketing for region asia_pacific and year 2025."
D234,"Document Title D234 (legal)",legal,2023,asia_pacific,"This is the body text of document D234 in department legal for region asia_pacific and year 2023."
D235,"Document Title D235 (sales)",sales,2025,asia_pacific,"This is the body text of document D235 in department sales for region asia_pacific and year 2025."
D236,"Document Title D236 (engineering)",engineering,2026,latin_america,"This is the body text of document D236 in department engineering for region latin_america and year 2026."
D237,"Document Title D237 (finance)",finance,2021,europe,"This is the body text of document D237 in department finance for region europe and year 2021."
D238,"Document Title D238 (legal)",legal,2023,latin_america,"This is the body text of document D238 in department legal for region latin_america and year 2023."
D239,"Document Title D239 (finance)",finance,2021,asia_pacific,"This is the body text of document D239 in department finance for region asia_pacific and year 2021."
D240,"Document Title D240 (legal)",legal,2020,north_america,"This is the body text of document D240 in department legal for region north_america and year 2020."
D241,"Document Title D241 (finance)",finance,2026,europe,"This is the body text of document D241 in department finance for region europe and year 2026."
D242,"Document Title D242 (hr)",hr,2020,north_america,"This is the body text of document D242 in department hr for region north_america and year 2020."
D243,"Document Title D243 (finance)",finance,2020,asia_pacific,"This is the body text of document D243 in department finance for region asia_pacific and year 2020."
D244,"Document Title D244 (engineering)",engineering,2023,latin_america,"This is the body text of document D244 in department engineering for region latin_america and year 2023."
D245,"Document Title D245 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D245 in department engineering for region asia_pacific and year 2023."
D246,"Document Title D246 (hr)",hr,2023,asia_pacific,"This is the body text of document D246 in department hr for region asia_pacific and year 2023."
D247,"Document Title D247 (hr)",hr,2020,north_america,"This is the body text of document D247 in department hr for region north_america and year 2020."
D248,"Document Title D248 (hr)",hr,2026,asia_pacific,"This is the body text of document D248 in department hr for region asia_pacific and year 2026."
D249,"Document Title D249 (sales)",sales,2024,north_america,"This is the body text of document D249 in department sales for region north_america and year 2024."
D250,"Document Title D250 (finance)",finance,2025,north_america,"This is the body text of document D250 in department finance for region north_america and year 2025."
D251,"Document Title D251 (engineering)",engineering,2021,europe,"This is the body text of document D251 in department engineering for region europe and year 2021."
D252,"Document Title D252 (legal)",legal,2020,latin_america,"This is the body text of document D252 in department legal for region latin_america and year 2020."
